dir,entry,exit,pnl,result,trend
short,20266.66015625,20217.580078125,490.80078125,close,0
long,20435.609375,20454.6796875,190.703125,close,0
long,20858.740234375,20818.740234375,-400.0,stop,0
long,20760.30078125,20720.30078125,-400.0,stop,0
long,20785.900390625,20747.384765625,-385.15625,stop,0
short,20518.259765625,20494.2109375,240.48828125,close,0
long,20551.41015625,20511.41015625,-400.0,stop,0
short,20243.3203125,20283.3203125,-400.0,stop,-1
short,20243.3203125,20269.19921875,-258.7890625,close,-1
long,21948.859375,21908.859375,-400.0,stop,1
long,21948.859375,21914.779296875,-340.80078125,close,1
long,21995.80078125,21955.80078125,-400.0,stop,1
long,21954.560546875,22040.760546875,431.0,tp1,1
long,21954.560546875,22086.51953125,659.794921875,close,1
long,22371.470703125,22463.031640625,457.80468750000006,tp1,1
long,22371.470703125,22465.80078125,471.650390625,close,1
long,23299.470703125,23371.2109375,717.40234375,close,1
long,22410.23046875,22370.23046875,-400.0,stop,1
short,21951.490234375,21991.490234375,-400.0,stop,-1
short,22145.5390625,22185.5390625,-400.0,stop,-1
short,22573.30078125,22482.95703125,451.71875,tp1,-1
short,22573.30078125,22393.439453125,899.306640625,close,-1
short,22324.650390625,22364.650390625,-400.0,stop,-1
short,23158.66015625,23198.66015625,-400.0,stop,-1
short,23158.66015625,23200.869140625,-422.08984375,close,-1
long,21722.4609375,21813.565625,455.52343750000006,tp1,1
long,21722.4609375,21868.859375,731.9921875,close,1
long,22513.140625,22473.140625,-400.0,stop,1
long,22513.140625,22473.140625,-400.0,stop,1
long,23552.119140625,23512.119140625,-400.0,stop,1
long,23552.119140625,23626.262890625,370.71875,tp1,1
long,23552.119140625,23580.76953125,143.251953125,close,1
long,24521.779296875,24481.779296875,-400.0,stop,1
long,24521.779296875,24494.98046875,-267.98828125,close,1
long,27689.029296875,27783.357421875,471.640625,tp1,1
long,27689.029296875,27787.240234375,491.0546875,close,1
long,30856.400390625,30838.2109375,-181.89453125,close,1
